Date,open,high,low,close
2022-05-11,1.05295,1.05771,1.05,1.05249
2022-05-10,1.05568,1.05854,1.0524,1.05292
2022-05-09,1.05404,1.05924,1.0494,1.05564
2022-05-06,1.05397,1.05988,1.0481,1.0551
2022-05-05,1.06247,1.06418,1.0491,1.05399
2022-05-04,1.05208,1.0631,1.0504,1.06237
2022-05-03,1.05048,1.05778,1.0491,1.05214
2022-05-02,1.05464,1.05684,1.0489,1.05037
2022-04-29,1.04978,1.0593,1.0489,1.0541
2022-04-28,1.0554,1.05649,1.0469,1.04983
2022-04-27,1.06379,1.06549,1.0513,1.05541
2022-04-26,1.07118,1.07387,1.0634,1.06374
2022-04-25,1.08058,1.08153,1.0695,1.07121
2022-04-22,1.08346,1.08516,1.0769,1.0794
2022-04-21,1.085,1.09364,1.0822,1.08346
2022-04-20,1.0789,1.08671,1.0782,1.08506
2022-04-19,1.07755,1.08145,1.076,1.0788
2022-04-18,1.08069,1.08216,1.0768,1.0778
2022-04-15,1.08256,1.0829,1.0795,1.0805
2022-04-14,1.08888,1.09233,1.0756,1.0827
2022-04-13,1.08273,1.08942,1.0807,1.08889
2022-04-12,1.08828,1.09038,1.0819,1.0827
2022-04-11,1.09083,1.09333,1.0871,1.08823
2022-04-08,1.08787,1.08918,1.0835,1.0875
2022-04-07,1.08971,1.09385,1.0863,1.0878
2022-04-06,1.0906,1.09381,1.0873,1.08961
2022-04-05,1.09725,1.09887,1.0898,1.0906
2022-04-04,1.1038,1.10544,1.0959,1.09723
2022-04-01,1.10658,1.10761,1.1026,1.1047
2022-03-31,1.11563,1.11849,1.1059,1.1066
2022-03-30,1.1086,1.11711,1.10842,1.1157
2022-03-29,1.09843,1.11372,1.0968,1.10861
2022-03-28,1.09836,1.09995,1.0943,1.09841
2022-03-25,1.09961,1.10379,1.09788,1.0982
2022-03-24,1.10063,1.10139,1.0964,1.09964
2022-03-23,1.10285,1.10437,1.0962,1.1005
2022-03-22,1.10183,1.10458,1.0959,1.1028
2022-03-21,1.10504,1.10703,1.1009,1.1018
2022-03-18,1.10906,1.11186,1.1001,1.105
2022-03-17,1.10311,1.11375,1.1006,1.10888
2022-03-16,1.09486,1.10468,1.09476,1.10309
2022-03-15,1.09427,1.10199,1.0924,1.0949
2022-03-14,1.09172,1.0994,1.0899,1.0942
2022-03-11,1.0984,1.10435,1.09,1.09099
2022-03-10,1.10738,1.11212,1.0974,1.09849
2022-03-09,1.08995,1.10953,1.0888,1.1075
2022-03-08,1.08537,1.09583,1.0847,1.08993
2022-03-07,1.09236,1.09325,1.0804,1.08549
2022-03-04,1.1066,1.1068,1.0884,1.09241
2022-03-03,1.11186,1.11224,1.1032,1.10659
2022-03-02,1.11234,1.1144,1.1055,1.11186
2022-03-01,1.12176,1.12331,1.1088,1.11239
2022-02-28,1.1125,1.12465,1.11227,1.12175
2022-02-25,1.11916,1.12743,1.1164,1.12657
2022-02-24,1.13027,1.1311,1.1104,1.11914
2022-02-23,1.13238,1.13593,1.1299,1.13044
2022-02-22,1.1309,1.13669,1.1286,1.1323
2022-02-21,1.13178,1.13907,1.1305,1.13102
2022-02-18,1.13592,1.13771,1.1312,1.13203
2022-02-17,1.13719,1.13863,1.1321,1.13592
2022-02-16,1.13569,1.13959,1.1342,1.13721
2022-02-15,1.13047,1.13684,1.12955,1.1358
2022-02-14,1.13369,1.13691,1.1278,1.13052
2022-02-11,1.14276,1.14304,1.1328,1.13457
2022-02-10,1.14211,1.14949,1.1373,1.1427
2022-02-09,1.14145,1.14479,1.1401,1.1423
2022-02-08,1.14421,1.14488,1.1394,1.14153
2022-02-07,1.14628,1.14652,1.1412,1.14412
2022-02-04,1.1437,1.14839,1.1409,1.1448
2022-02-03,1.13011,1.14515,1.1266,1.144
2022-02-02,1.1271,1.13302,1.1264,1.13022
2022-02-01,1.12346,1.12788,1.1219,1.12704
2022-01-31,1.11415,1.12479,1.1137,1.12334
2022-01-28,1.11432,1.11736,1.112,1.11456
2022-01-27,1.1241,1.12434,1.113,1.11424
2022-01-26,1.12988,1.13107,1.1234,1.12408
2022-01-25,1.13246,1.1329,1.1261,1.13012
2022-01-24,1.13409,1.1345,1.1289,1.1327
2022-01-21,1.13096,1.13599,1.1298,1.13403
2022-01-20,1.13415,1.13691,1.13,1.13114
2022-01-19,1.13241,1.13571,1.1317,1.13424
2022-01-18,1.14047,1.14215,1.1313,1.1323
2022-01-17,1.14128,1.14345,1.139,1.1406
2022-01-14,1.14538,1.1483,1.1397,1.14091
2022-01-13,1.14403,1.14817,1.1433,1.14547
2022-01-12,1.13661,1.14528,1.1353,1.14408
2022-01-11,1.13231,1.13754,1.1311,1.1366
2022-01-10,1.13524,1.13603,1.1283,1.1325
2022-01-07,1.12946,1.13649,1.1288,1.13593
2022-01-06,1.1313,1.1332,1.1283,1.12925
2022-01-05,1.12858,1.13465,1.1275,1.13116
2022-01-04,1.12955,1.13226,1.1271,1.1286
2022-01-03,1.13707,1.1379,1.1278,1.12965
2021-12-31,1.13205,1.13865,1.1301,1.13659
2021-12-30,1.13457,1.136,1.1297,1.1325
2021-12-29,1.13086,1.13691,1.1272,1.13459
2021-12-28,1.13254,1.13333,1.1288,1.13085
2021-12-27,1.13156,1.13347,1.1301,1.1327
2021-12-24,1.13265,1.13435,1.13016,1.13181
2021-12-23,1.13253,1.13422,1.1288,1.13284
